,id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem,problem_eng,problem_with_product
1460,restart_2683,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Milano,2016-05-14,,,
1461,restart_3972,The Restart Project,GBR,Mobile,Mobile,19,Unknown,,,End of life,,Restarters East London,2016-12-03,PSP - Doesn't read disk.,,Mobile: PSP - Doesn't read disk.
1462,restart_3974,The Restart Project,GBR,Mobile,Mobile,19,Motorola,,,End of life,,Restarters East London,2016-12-03,Power fault (some lights),,Mobile: Power fault (some lights)
1463,restart_4025,The Restart Project,GBR,Mobile,Mobile,19,Motorola,,,Repairable,,Leicester Fixers,2016-12-10,screen smashed.,,Mobile: screen smashed.
1464,restart_3410,The Restart Project,GBR,Mobile ~ I-phone,Mobile,19,Apple,,,Fixed,,Restart sponsored events,2016-10-15,"I-phone lead, fraying. Sugru used to fix.",,"Mobile: I-phone lead, fraying. Sugru used to fix."
1465,restart_3339,The Restart Project,GBR,Mobile,Mobile,19,Samsung,,,Fixed,,Restart sponsored events,2016-09-30,Update - advice given.,,Mobile: Update - advice given.
1466,restart_3341,The Restart Project,GBR,Mobile,Mobile,19,Unknown,,,Repairable,,Restart sponsored events,2016-09-30,Power issue. Dead battery. Some progress.,,Mobile: Power issue. Dead battery. Some progress.
1467,restart_4115,The Restart Project,GBR,Mobile,Mobile,19,HTC,,,End of life,,Hackney Fixers,2017-01-28,Doesn't charge/turn on. Beyond repair.,,Mobile: Doesn't charge/turn on. Beyond repair.
1468,restart_4144,The Restart Project,GBR,Mobile ~ iphone,Mobile,19,Apple,,,Repairable,,Hackney Fixers,2017-01-28,Screen needs replacing.,,Mobile: Screen needs replacing.
1469,restart_4154,The Restart Project,GBR,Mobile ~ iPhone,Mobile,19,Apple,,,Repairable,,Hackney Fixers,2017-01-28,Battery needs changing.,,Mobile: Battery needs changing.
1470,restart_4156,The Restart Project,GBR,Mobile,Mobile,19,Unknown,,,Fixed,,Hackney Fixers,2017-01-28,Can't get internet. Connected!,,Mobile: Can't get internet. Connected!
1471,restart_4157,The Restart Project,GBR,Mobile,Mobile,19,Apple,,,Repairable,,Hackney Fixers,2017-01-28,Home button doesn't work.,,Mobile: Home button doesn't work.
1472,restart_4293,The Restart Project,CAN,Mobile,Mobile,19,Unknown,,,Repairable,,Réparothons INSERTECH (Montreal),2017-02-02,,,
1473,restart_4294,The Restart Project,CAN,Mobile,Mobile,19,Unknown,,,Repairable,,Réparothons INSERTECH (Montreal),2017-02-02,,,
1474,restart_4332,The Restart Project,GBR,Mobile ~ Smartphone,Mobile,19,Fairphone,,,Repairable,,The Goodlife Centre,2017-02-05,"Will not charge unless cable held at angle. Removed main board and found loss usb socket needs to be reflowed and surface mount, or find working replacement board.",,"Mobile: Will not charge unless cable held at angle. Removed main board and found loss usb socket needs to be reflowed and surface mount, or find working replacement board."
1475,restart_4342,The Restart Project,GBR,Mobile ~ iPhone,Mobile,19,Apple,,,Repairable,,The Goodlife Centre,2017-02-05,iPhone - broken screen.,,Mobile: iPhone - broken screen.
1476,restart_4343,The Restart Project,GBR,Mobile ~ iPhone,Mobile,19,Apple,,,Repairable,,The Goodlife Centre,2017-02-05,iPhone - needed battery change (also needed spare battery),,Mobile: iPhone - needed battery change (also needed spare battery)
1477,restart_4205,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Firenze,2017-01-28,,,
1478,restart_4362,The Restart Project,GBR,Mobile,Mobile,19,Motorola,,,Repairable,,Restarters East London,2017-02-11,No activity. Battery problem needs to be resolved first before looking at other parts of the system.,,Mobile: No activity. Battery problem needs to be resolved first before looking at other parts of the system.
1479,restart_4405,The Restart Project,CAN,Mobile,Mobile,19,Unknown,,,Repairable,,Réparothons INSERTECH (Montreal),2017-02-23,,,
1480,restart_4406,The Restart Project,CAN,Mobile,Mobile,19,Unknown,,,End of life,,Réparothons INSERTECH (Montreal),2017-02-23,,,
1481,restart_4407,The Restart Project,CAN,Mobile,Mobile,19,Unknown,,,Fixed,,Réparothons INSERTECH (Montreal),2017-02-23,,,
1482,restart_534,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Firenze,2014-03-29,Mobile phone.,,Mobile: Mobile phone.
1483,restart_536,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,Fixed,,Restarters Firenze,2014-03-29,Mobile phone.,,Mobile: Mobile phone.
1484,restart_943,The Restart Project,ITA,Mobile ~ Fonera,Mobile,19,Unknown,,,Repairable,,Restarters Firenze,2014-10-05,Fonera.,,Mobile: Fonera.
1485,restart_947,The Restart Project,ITA,Mobile,Mobile,19,Unknown,,,End of life,,Restarters Firenze,2014-10-05,,,
1486,restart_4437,The Restart Project,GBR,Mobile ~ iPhone,Mobile,19,Apple,,,Repairable,,Restart sponsored events,2017-03-02,Home button broken - cleaned but needs replacing.,,Mobile: Home button broken - cleaned but needs replacing.
1487,restart_4439,The Restart Project,GBR,Mobile ~ iPhone,Mobile,19,Apple,,,Repairable,,Restart sponsored events,2017-03-02,water damage - advice on recovering photos.,,Mobile: water damage - advice on recovering photos.
1488,restart_4440,The Restart Project,GBR,Mobile,Mobile,19,Samsung,,,Repairable,,Restart sponsored events,2017-03-02,No display - needs new screen.,,Mobile: No display - needs new screen.
1489,restart_4445,The Restart Project,GBR,Mobile,Mobile,19,Samsung,,,Fixed,,Restart sponsored events,2017-03-02,Full - how to free space. Advice given.,,Mobile: Full - how to free space. Advice given.
1490,restart_4415,The Restart Project,GBR,Mobile ~ iPhone,Mobile,19,Apple,,,Repairable,,Restart HQ,2017-02-27,"Cracked screen - fixable, but needs spare parts.",,"Mobile: Cracked screen - fixable, but needs spare parts."
1491,restart_4425,The Restart Project,GBR,Mobile,Mobile,19,Unknown,,,Fixed,,Restart HQ,2017-02-27,Crackly phone - cleaned with contact cleaner spray.,,Mobile: Crackly phone - cleaned with contact cleaner spray.
1492,restart_4426,The Restart Project,GBR,Mobile,Mobile,19,Unknown,,,Repairable,,Restart HQ,2017-02-27,Software issue - needed another part to fix.,,Mobile: Software issue - needed another part to fix.
1493,restart_4094,The Restart Project,GBR,Mobile,Mobile,19,Samsung,,,End of life,,Restart HQ,2017-01-17,Does not power on.,,Mobile: Does not power on.
1494,restart_4512,The Restart Project,ITA,Mobile,Mobile,19,Samsung,,,End of life,,Restarters Milano,2017-03-11,Not working the lower part of the touch screen.,,Mobile: Not working the lower part of the touch screen.
1495,restart_4492,The Restart Project,GBR,Mobile,Mobile,19,Samsung,,,End of life,,Restart HQ,2017-03-08,Not recognizing SIM.,,Mobile: Not recognizing SIM.
1496,restart_4588,The Restart Project,ESP,Mobile,Mobile,19,Unknown,,,Repairable,,Restarters Barcelona,2017-03-22,Start button did not go in; difficult access to repair.,,Mobile: Start button did not go in; difficult access to repair.
1497,restart_4703,The Restart Project,GBR,Mobile ~ iPhone,Mobile,19,Apple,,,Repairable,,Restart HQ,2017-04-01,"Asks for iTunes only. Advice given, hopefully DIY ready.",,"Mobile: Asks for iTunes only. Advice given, hopefully DIY ready."
1498,restart_4598,The Restart Project,ESP,Mobile,Mobile,19,Unknown,,,Repairable,,Restarters Barcelona,2017-03-22,Battery lasts two hours.,,Mobile: Battery lasts two hours.
1499,restart_3332,The Restart Project,USA,Mobile ~ Iphone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-09-30,,,
1500,restart_3512,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-10-31,Cracked screen.,,Mobile: Cracked screen.
1501,restart_3513,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-10-31,Cracked screen.,,Mobile: Cracked screen.
